country,total_infections,max_infections,lat,long,stringency_index,population,median_age,total_tests,government_effectiveness,law_enforcement_ability,corruption_level,human_freedom,iso_a3,gov_healthexp_pct_gdp,gov_healthexp_per_capita
Nepal,8.20268301181104,0.5491335907488563,28.1667,84.25,,29136808,25,542.2694208644956,-0.9,-0.48,-0.67,6.83,NPL,1.16947516,8.44496511
Netherlands,24417.748787385164,1652.5364181302316,12.5186,-70.0358,85.71,17134872,43,8634.321867125707,1.85,1.82,2.01,8.49,NLD,8.38861624,3839.9307479999998
New Zealand,4301.3267919654645,287.4187124512648,-40.9006,174.886,100.0,4822233,38,14549.276237792741,1.67,1.88,2.17,8.94,NZL,7.25341615,2945.760491
Niger,213.28855003609752,24.125607828991082,17.6078,8.0817,,24206644,15,182.88367441599917,-0.77,-0.58,-0.58,6.0,NER,1.51293619,5.50951516
Nigeria,24.177791486719226,1.974390275901831,9.082,8.6753,80.95,206139589,18,24.255408794862785,-1.02,-0.88,-1.04,6.1,NGA,0.47496933,10.33368986
North Macedonia,5838.126039779704,467.51087418773585,41.6086,21.7453,,2083374,39,4445.673220458737,0.09,-0.28,-0.36,7.55,MKD,4.0326809,208.3961176
Norway,26110.25778046023,1243.257770683871,60.472,8.4689,76.19,5421241,40,24019.592561924474,1.89,1.97,2.09,8.61,NOR,8.93920884,6365.950215999999
Pakistan,353.07697858603876,28.89642981734903,30.3753,69.3451,100.0,220892340,23,357.545218634562,-0.63,-0.67,-0.79,5.44,PAK,0.76798214,11.04167951
Panama,9973.88735011647,828.3181919209079,8.538,-80.7821,90.48,4314767,30,3906.1205390696646,-0.02,-0.06,-0.57,7.53,PAN,4.763161900000001,682.7036682999999
Papua New Guinea,4.135453308273232,0.2235380166634179,-6.315,143.9555,80.95,8947024,22,18.665424391395398,-0.68,-0.77,-0.88,6.99,PNG,1.3830432,38.60594241
Paraguay,324.98950583929593,22.57261019850157,-23.4425,-58.4438,95.24,7132538,26,545.1075059116405,-0.52,-0.54,-0.85,7.02,PRY,4.14268173,168.92857469999998
Peru,2517.2985419624874,348.02410565083784,-9.19,-75.0152,80.95,32971854,31,3317.526518223695,-0.25,-0.52,-0.54,7.46,PER,3.29590879,202.75377969999997
Philippines,639.5812240503785,49.762240886150074,13.0,122.0,90.48,109581078,26,439.5923172064432,0.05,-0.48,-0.54,6.92,PHL,1.38354204,40.82935177
Poland,2472.6124090740914,200.33497847403035,51.9194,19.1451,76.19,37846611,42,4467.269209388392,0.66,0.43,0.64,8.02,POL,4.54206336,563.8930306
Portugal,24289.99395785444,1774.1998913571035,39.3999,-8.2245,80.95,10196709,46,20429.532705111033,1.21,1.14,0.85,8.11,PRT,6.02253675,1194.9442179999999
Qatar,14975.427387139354,1288.0707158111982,25.3548,51.1839,85.71,2881053,32,19569.580983064177,0.63,0.73,0.72,6.22,QAT,2.51368509,1491.390983
Romania,4549.50648703111,375.09699058998297,45.9432,24.9668,95.24,19237691,43,4139.21816292818,-0.25,0.33,-0.12,8.0,ROU,3.89407157,372.4622871
Russia,1169.785379412301,167.81505659711823,60.0,90.0,85.71,145934462,40,11055.736786832435,-0.06,-0.82,-0.85,6.49,RUS,3.0019096000000003,267.1702482
Rwanda,172.24849056740706,10.500132100926653,-1.9403,29.8739,95.24,12952218,20,481.5391464226436,0.21,0.12,0.58,7.0,RWA,2.2906235,16.28961382
Saudi Arabia,1792.9922242775012,168.38116048629007,24.0,45.0,95.24,34813871,32,4308.627443354403,0.32,0.14,0.36,5.66,SAU,3.89302768,777.9073913999999
Serbia,5355.272198010134,557.7192498750481,44.0165,21.0059,,8737371,42,3373.0970105309707,0.11,-0.15,-0.37,7.19,SRB,5.298753700000001,286.78759260000004
Singapore,7175.990736951789,632.2707287881632,1.2833,103.8333,42.86,5850342,42,12423.205344234577,2.23,1.84,2.17,8.1,SGP,2.43704803,1342.624304
Slovakia,2348.505634618534,158.06897228792658,48.669,19.699,80.95,5459642,41,6311.402835570537,0.71,0.53,0.36,7.33,SVK,5.68866186,941.0975975
Slovenia,11920.990428766996,600.3065026470246,46.1512,14.9955,100.0,2078938,45,18344.462413020494,1.13,1.06,0.87,7.88,SVN,6.12153961,1325.87342
South Africa,646.9709582187702,42.25350450330298,-30.5595,22.9375,100.0,59308690,28,1526.167581850147,0.34,-0.1,-0.02,6.78,ZAF,4.35733707,230.05547280000002
Spain,62546.91231771008,3799.483338365974,40.0,-4.0,90.48,46754778,45,19895.9344860968,1.0,0.97,0.61,8.22,ESP,6.39032348,1702.507336
Sri Lanka,202.2579572114442,11.114614134454795,7.0,81.0,95.24,21413249,34,222.66588316420362,-0.24,0.03,-0.34,5.69,LKA,1.67771562,65.97404606
Sweden,16925.78618344998,1180.9770314968466,63.0,16.0,52.38,10099265,41,7386.676159106628,1.83,1.9,2.14,8.48,SWE,9.13114823,4768.654941
Switzerland,57451.03598978673,3042.9982961705314,46.8182,8.2275,80.95,8654622,43,22993.494112163422,2.04,1.93,2.01,8.83,CHE,7.68887756,6174.882702
Thailand,702.1921983986872,37.86534144752883,15.0,101.0,85.71,69799978,40,1439.7998807392175,0.35,0.02,-0.4,7.11,THA,2.89993864,173.3959257
Togo,145.79541484895498,9.78411648944934,8.6195,0.8248,,8278724,19,366.72318101195305,-1.06,-0.59,-0.73,5.67,TGO,1.32633834,7.77303611
Trinidad and Tobago,1677.7564366396855,81.45836191521471,10.6918,-61.2225,,1399488,36,916.0492980289935,0.19,-0.12,-0.32,6.81,TTO,3.43698692,561.6181674
Tunisia,996.9015838483328,65.9975585980054,34.0,9.0,100.0,11818619,33,1111.5511888487142,-0.11,0.04,-0.05,6.1,TUN,3.93730636,145.27227549999998
Turkey,7838.028371833897,822.7741006430626,38.9637,35.2433,95.24,84339067,32,5664.2315002133,0.01,-0.32,-0.34,6.96,TUR,3.38424656,367.61715
Uganda,21.46870094049307,1.202422150434948,1.0,32.0,,45741007,17,168.18606551447368,-0.61,-0.29,-1.04,6.4,UGA,1.02082965,6.227106099999999
Ukraine,741.5323657726952,86.06622956424376,48.3794,31.1656,95.24,43733762,41,979.1748535147742,-0.42,-0.72,-0.87,6.81,UKR,2.85304109,59.88135541
United Arab Emirates,4885.847915989664,542.4450896940286,24.0,54.0,95.24,9890402,33,77549.93174190493,1.43,0.81,1.15,6.56,ARE,2.54892462,958.9619755000001
